Timestamp,Device, avail, block, Cmode, dev_asset_chg, dev_asset_rem, estop, execution, line, mode, msg, power, program, tool_id
4/1/2016 13:36:40:722,VMC-3Axis, AVAILABLE, X0.102596 Y-0.970593, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 519, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:40:972,VMC-3Axis, AVAILABLE, X0.005176 Y-0.973986, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 520, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:41:218,VMC-3Axis, AVAILABLE, X-0.091897 Y-0.967646, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 521, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:41:453,VMC-3Axis, AVAILABLE, X-0.187655 Y-0.951675, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 522, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:41:691,VMC-3Axis, AVAILABLE, X-0.281145 Y-0.926273, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 523, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:41:937,VMC-3Axis, AVAILABLE, X-0.371445 Y-0.891731, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 524, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:42:175,VMC-3Axis, AVAILABLE, X-0.457664 Y-0.848434, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 525, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:42:421,VMC-3Axis, AVAILABLE, X-0.538959 Y-0.796848, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 526, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:42:671,VMC-3Axis, AVAILABLE, X-0.614539 Y-0.737524, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 527, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:42:906,VMC-3Axis, AVAILABLE, X-0.683671 Y-0.671087, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 528, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:43:140,VMC-3Axis, AVAILABLE, X-0.745692 Y-0.598230, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 529, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:43:375,VMC-3Axis, AVAILABLE, X-0.800013 Y-0.519707, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 530, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:43:613,VMC-3Axis, AVAILABLE, X-0.846123 Y-0.436326, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 531, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:43:859,VMC-3Axis, AVAILABLE, X-0.883595 Y-0.348940, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 532, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:44:097,VMC-3Axis, AVAILABLE, X-0.912093 Y-0.258439, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 533, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:44:347,VMC-3Axis, AVAILABLE, X-0.931368 Y-0.165740, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 534, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:44:601,VMC-3Axis, AVAILABLE, X-0.941267 Y-0.071779, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 535, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:44:843,VMC-3Axis, AVAILABLE, X-0.941731 Y0.022502, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 536, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:45:078,VMC-3Axis, AVAILABLE, X-0.932795 Y0.116159, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 537, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:45:312,VMC-3Axis, AVAILABLE, X-0.914589 Y0.208259, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 538, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:45:550,VMC-3Axis, AVAILABLE, X-0.914589 Y0.208259, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 538, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:45:800,VMC-3Axis, AVAILABLE, X-0.851337 Y0.384163, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 540, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:46:050,VMC-3Axis, AVAILABLE, X-0.807000 Y0.466235, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 541, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
